species;44;62;69;72;76;79;83;86;91;98;105;112;119;126;133;140
X1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,423236119;0;0
X3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X5;0,45627764;0;0;0,631244676;0;0;0;0;0;0;0;0;0;0;0;0
X6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X11;0;0;0;0;0;0;0;0;0;0;0;0,813921335;0;0;0;0
X12;114,9322869;170,2070334;114,7993539;220,688141;208,3103993;172,2755819;168,1415741;120,5034519;148,3041108;92,3721787;120,8466444;237,0214472;243,5372996;283,5304775;297,178934;283,5758562
X13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,526079156
X18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X19;0,647809701;0;0,711655661;0;0;0;0;0;0;0;0;0;0;0;0,759050887;0
X20;0;0;0;0;0;0;0;0;2,289366892;0;1,475868632;0;0;0;0,48107219;0
X21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X24;7,115324851;1,754056095;0;0;0;0;0;1,111636288;0;0;0;0;1,272750988;0,980465374;1,123092295;0
X25;0;0;0;0;0;0,595640151;0;0;0;0;0;0;0;0;0;0
X26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,485595416
X29;0;0,584685365;0;0;15,12021413;2,895364388;0,695212175;0,640978401;0;1,119893112;1,727072854;4,473217821;5,408380663;11,81404131;3,194998198;2,370443583
X30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X32;0;0;0;0;0;0;0;0;1,07853208;0;0,927432658;1,649517094;0;0;0,240536095;0
X33;1,311580276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,263039578
X34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X35;0,556033889;0,584685365;50;304,8731553;219,3117799;16,92302814;384,9477226;213,9129378;189,4607847;14,58279089;781,8284245;293,7757057;235,3229148;423,4856472;170,0603032;268,2835975
X36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X38;9,192515544;0;0;0;1,646289166;0;0;0;0;0,373297704;0;0,682307859;0;0;0;0
X39;0;0;0;0;0;0,297820075;0;0;0;0,330293389;0;0;0;0;0;0
X40;0;0;0;0;0;0;0;0;0;0;0;0;0;0,634854178;0;0
