;cD312_S49;cD313_S50;cD314_S51;cD318_S55;cD319_S56;cD320_S57;cD324_S61;cD325_S62;cD326_S63;cD330_S67;cD331_S68;cD332_S69;cD336_S73;cD337_S74;cD338_S75;cD342_S79;cD343_S80;cD344_S81;cD348_S85;cD349_S86;cD350_S87;cD354_S91;cD355_S92
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,020046106;0,014650686;0,037463554;0,0113551;0,029445829;0,026070521;0,011859758;0;0;0;0;0;0;0;0,00727961;0;0;0;0,062306389;0,021278367;0,025723862;0,07849506;0,070621888
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,007795708;0,003488259;0,005700976;0;0,006870694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,040092212;0,041161451;0,023618328;0,041053055;0,026501247;0,027001611;0,031131866;0,037954932;0,014556619;0,023118509;0,006543952;0,01845586;0,011604368;0,006845832;0,011323837;0,006913292;0;0,005286422;0;0;0;0,002706726;0
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,003341018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0,003488259;0;0;0;0;0;0,008434429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,00837182;0;0;0,008833749;0;0;0;0;0,004445867;0;0;0;0;0;0;0;0;0;0;0;0,023819191;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0,006515401;0;0;0;0;0;0;0;0;0,007382344;0;0;0;0;0;0;0;0;0;0;0
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0,009773101;0;0;0;0;0;0;0;0;0;0;0;0;0,009217723;0;0;0;0;0;0;0
_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_T9d_Rickettsiales_Alphaproteobacteria_Proteobacteria;0,012807234;0;0;0;0,009815276;0;0;0;0;0,006224214;0,005609102;0,008612735;0,007091558;0,006845832;0;0,013826584;0;0,010166197;0,011408212;0;0,009835594;0,02165381;0,003560767
_TM146_Solirubrobacterales_Thermoleophilia_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,00445469;0,009069472;0,006515401;0,028824485;0,017667498;0,029794881;0,047439033;0,043577885;0,018526606;0,039123631;0,053286466;0,078745002;0,146988666;0,112467238;0,108385302;0,168223438;0,082143867;0,100035378;0,151816977;0,12859535;0,12861931;0,185681418;0,204150668
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,065149845;0,043254406;0,009773101;0,051534685;0,078522212;0,043761231;0,088948188;0,044983623;0,042346527;0,065798833;0,059830418;0,07628422;0,124424617;0,082149982;0,078458017;0,089872795;0,024731487;0,072383323;0,125490334;0,077712298;0,084737427;0,105562322;0,067654582
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0;0,004883562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007681436;0;0;0;0;0;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,045660575;0,08999707;0,022803903;0,048914278;0,047113327;0,056796492;0,053368913;0,074504126;0,07675308;0,056907099;0,028980359;0,029529376;0,038681228;0,022493448;0,089781854;0,065292202;0,043280102;0,039038196;0,043877739;0,042556735;0,03631604;0,011909595;0,031453446
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,234428073;0,204411949;0,141709967;0,284750974;0,127598594;0,178769285;0,120080053;0,19820909;0,170709437;0,159162043;0,128074489;0,071362658;0,204365821;0,152564253;0,176328327;0,104467523;0,125423968;0,132160561;0,102673909;0,136921668;0,101382279;0,067668155;0,108009946
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,006446871;0;0;0;0;0;0;0;0;0;0
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,042876393;0,063486305;0,042350105;0,041926524;0,060854714;0,040967961;0,105255355;0,043577885;0,041023198;0,072023047;0,073853172;0,050446017;0,052864345;0,08997379;0,033971512;0,107540097;0,095392877;0,113861406;0,109694348;0,074011712;0,093059853;0,17864393;0,081897652
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeromonas_Aeromonadaceae_Aeromonadales_Gammaproteobacteria_Proteobacteria;0,078513915;0,063486305;0,078184809;0,044546932;0,082448323;0,050278861;0,051886443;0,037954932;0,05160983;0,039123631;0,028980359;0,015995078;0,010314994;0,031295231;0,020221138;0,007681436;0;0,021552338;0,021061315;0,012026903;0,00907901;0;0
Aestuariivita_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0,00418591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afifella_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,003488259;0;0;0,012759859;0,00465545;0,011859758;0,009840168;0;0,004445867;0;0;0;0;0,008897301;0,004608861;0;0;0,007020438;0;0;0;0
Afipia_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrococcus_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ahrensia_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,00445469;0;0;0,006114285;0,007852221;0;0;0;0;0;0;0;0,00451281;0,005867856;0;0;0;0;0;0;0;0,01136825;0,004154229
Albidiferax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,824674529;0;0,013030802;0;0,014722915;0;0;0;0,071459764;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005934612
Algoriphagus_Cyclobacteriaceae_Cytophagales_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aliihoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alkanindiges_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
