;D315_S4;D316_S5;D317_S6;D321_S10;D322_S11;D323_S12;D327_S16;D328_S17;D329_S18;D333_S22;D334_S23;D335_S24;D339_S28;D340_S29;D341_S30;D345_S34;D346_S35;D347_S36;D351_S40;D352_S41;D353_S42;D358_S45;D359_S46
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,231386002;0,215706749;0,154905148;0,126993086;0,162868883;0,218497027;0,081015393;0,40392828;0,127655609;0,073468638;0,152512916;0,182734311;0,281301324;0,069923085;0,101646363;0,112979722;0,085603753;0,124310015;0,076837702;0,110969679;0,2247665;0,106183635;0,205117133
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,029174757;0,031600352;0,007636169;0,007839079;0,016436309;0,025073429;0;0,067835284;0,021431234;0,011224375;0,031921308;0,024869167;0,029702624;0;0;0,014122465;0;0,00386456;0;0,008159535;0,00922795;0,011242973;0,005397819
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,066397722;0,037096065;0,029453796;0,034491949;0,062756817;0,06984741;0;0,063981006;0,032612747;0,046938297;0,014187248;0,045413261;0,026208198;0,04994506;0,013860868;0,029421803;0,047740555;0,014814147;0;0,033454094;0,054708562;0,017489069;0,014844003
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0,011953679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010120911
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0,009617498;0;0,009406895;0;0,012536715;0;0,023125665;0,019567648;0,020407955;0,018916331;0,006487609;0,013977706;0;0,055443471;0,029421803;0,011523582;0,02318736;0,008537522;0,035086002;0,020433318;0;0,004048364
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0,007093624;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0,010060261;0,020608925;0,017454101;0,021949422;0,01045947;0;0,027005131;0,006937699;0,013976892;0,005101989;0,009458165;0;0,012230492;0;0,009240578;0;0,011523582;0,006440933;0,008537522;0,006527628;0,00922795;0,013741412;0,010120911
_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_T9d_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_TM146_Solirubrobacterales_Thermoleophilia_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,016096418;0,030226423;0,023999389;0,034491949;0,025401569;0,04656494;0,036006841;0,04625133;0,038203504;0,068366649;0,022463143;0,070282427;0,110074431;0,085905504;0,084705303;0,154170246;0,131698082;0,190007536;0,08366772;0,124024936;0,094256919;0,112429731;0,143042211
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,006869642;0;0;0,00747105;0;0;0;0;0;0;0,049738333;0;0;0;0;0;0,044442441;0;0;0,044821472;0,008744535;0,003373637
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
