;D312_S1;D313_S2;D314_S3;D318_S7;D319_S8;D320_S9;D324_S13;D325_S14;D326_S15;D330_S19;D331_S20;D332_S21;D336_S25;D337_S26;D338_S27;D342_S31;D343_S32;D344_S33;D348_S37;D349_S38;D350_S39;D354_S43;D355_S44
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,907660147;0,345690243;1,036185166;0,373224049;0,658482143;0,470774547;0,372137082;0,228214146;0,262751159;0,146443326;0,166399239;0,230821642;0,075209914;0,265364912;0,262924577;0,141934922;0,085351542;0,148175388;0,200138277;0,150433154;0,141565751;0,109768436;0,120810726
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,083497525;0,034569024;0,077830052;0,03972693;0,068204365;0,02879355;0,01522379;0,034388433;0,028979907;0,018983394;0,024959886;0,050057705;0,030308473;0,043990975;0,019872206;0,022410777;0,01493652;0,01514201;0,023652706;0,009950831;0,015350503;0,009545081;0,00755067
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,009611226;0;0;0,005227228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,098515066;0,050034114;0,044142417;0,076317523;0,01860119;0,047509358;0,033830644;0,060961313;0,036707883;0,021695307;0,030902716;0,069524591;0,044901441;0,028381274;0,050444832;0,089020587;0,017070308;0,018386727;0;0,030437837;0,017056115;0,024817212;0,020494677
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,006952459;0;0;0,01222905;0;0;0;0;0,005268087;0;0,013363114;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,009611226;0,011826245;0,009293141;0;0,006200397;0;0;0;0;0;0;0;0;0;0;0;0,010668943;0;0;0;0;0;0
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0,025229468;0,017284512;0,022071209;0,022999801;0,017361111;0,018715808;0,011840725;0,032825322;0;0,005423827;0,010697094;0,020857377;0,00561268;0,018447828;0,009171788;0,009337824;0,01493652;0,006489433;0;0,007609459;0;0,006681557;0,008629338
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0,01862175;0,006367978;0,018586281;0,006272673;0,007440476;0,010077743;0;0,007815553;0;0,005423827;0,00594283;0,018076394;0;0;0,007643156;0,004980173;0;0,01514201;0;0,002926715;0;0,01049959;0
